,review,rank,Actual Label,Predicted Label,tokenized,Raw Sentiment Score,Normalized Sentiment Score
40571,생물보단 못해도 먹을만해요,4,1,0,생물보단먹을만해,0.215635532020255,5.107817766010127
154650,브레이킹패드를 한번 써보고 싶어서 주문했습니다. 괜찮은 패드인거 같네요ㅎㅎ,4,1,0,브레이킹패드싶어서주문괜찮은패드인거,2.073310225714075,6.036655112857037
156090,훈련소에서 배급받은 기분임,5,1,0,훈련소배급받은기분,-1.0735741956657945,4.463212902167102
8046,특별할것없는듯...더써봐야겠지만...ㅎㅎ,4,1,0,특별할것없는듯봐야겠지만,-0.4235892972703751,4.788205351364812
35547,써야할때 배송이 안와서 물거품됐지만 가격은 싼거같아요,5,1,0,써야배송거품됐지만가격싼거,-2.4182677980363336,3.790866100981833
192500,쓸만하넹쇼,5,1,0,쓸만하넹쇼,0.0,5.0
188460,원목책상의 고급스러움이 잘 느껴져요 그런데 서랍이 잘안열리고 안닫혀요,4,1,0,원목책상고급스러움느껴져요서랍열리고닫혀요,-1.3653646721681196,4.31731766391594
54244,순수해서 좋은거같아요 쓰다가 냄새맡아보면 제주도 초콜릿냄새나서 제주도온거갘음,5,1,0,순수해서좋은쓰다가냄새맡아제주도초콜릿냄새나서제주도온거갘음,1.7737365750023875,5.886868287501194
58997,처음에는 안맞는거 했는데 써보니 쫌 괜차나요,5,1,0,맞는거쫌괜차나,-0.4996866466525164,4.7501566766737415
128614,맘후기 보고 샀네요,5,1,0,맘후기샀네요,0.07361684051050665,5.036808420255253
179509,예전에 구매했을때보다 결합이 잘 되네요. 고무 망치도 잘 받았습니다.,5,1,0,예전구매했을결합되네요고무망치,1.7015857577245044,5.8507928788622525
194476,자주 써서 스킬이 좀 생겨야 할 것 같아요. 긴머리 말아올리는게 쉽지 않네요,4,1,0,자주써서스킬생겨야긴머리올리는게쉽지,-1.0367106871656102,4.481644656417195
